,Position,Athlete,NOC,Medal,Event,Sport,Sex,Birth,Height,Weight
0,1,An San,KOR,Gold,"Individual, Women",ARC,Female,27 February 2001,0,0
1,2,Yelena Osipova,ROC,Silver,"Individual, Women",ARC,Female,22 May 1993,0,0
2,3,Lucilla Boari,ITA,Bronze,"Individual, Women",ARC,Female,24 March 1997,162,82
3,4,Mackenzie Brown,USA,NA,"Individual, Women",ARC,Female,14 March 1995,178,75
4,5,Alejandra Valencia,MEX,NA,"Individual, Women",ARC,Female,17 October 1994,175,74
5,6,Wu Jiaxin,CHN,NA,"Individual, Women",ARC,Female,28 February 1997,164,72
6,7,Kang Chae-Yeong,KOR,NA,"Individual, Women",ARC,Female,8 June 1996,0,0
7,8,Deepika Kumari,IND,NA,"Individual, Women",ARC,Female,13 June 1994,163,61
8,=9,Yasemin Anagöz,TUR,NA,"Individual, Women",ARC,Female,14 October 1998,165,66
9,=9,Lisa Barbelin,FRA,NA,"Individual, Women",ARC,Female,10 April 2000,0,0
10,=9,Ren Hayakawa,JPN,NA,"Individual, Women",ARC,Female,24 August 1987,179,65
11,=9,Lin Chia-En,TPE,NA,"Individual, Women",ARC,Female,2 June 1993,166,55
12,=9,Hanna Marusava,BLR,NA,"Individual, Women",ARC,Female,8 January 1978,166,59
13,=9,Miki Nakamura,JPN,NA,"Individual, Women",ARC,Female,12 September 1992,0,0
14,=9,Kseniya Perova,ROC,NA,"Individual, Women",ARC,Female,8 February 1989,169,77
15,=9,Bryony Pitman,GBR,NA,"Individual, Women",ARC,Female,13 March 1997,0,0
16,=17,Sarah Bettles,GBR,NA,"Individual, Women",ARC,Female,16 October 1992,0,0
17,=17,Ane Marcelle,BRA,NA,"Individual, Women",ARC,Female,12 January 1994,153,53
18,=17,Karyna Dziominskaya,BLR,NA,"Individual, Women",ARC,Female,25 August 1994,0,0
19,=17,Maja Jager,DEN,NA,"Individual, Women",ARC,Female,22 December 1991,168,55
20,=17,Jang Min-Hui,KOR,NA,"Individual, Women",ARC,Female,5 April 1999,0,0
21,=17,Casey Kaufhold,USA,NA,"Individual, Women",ARC,Female,6 March 2004,0,0
22,=17,Michelle Kroppen,GER,NA,"Individual, Women",ARC,Female,19 April 1996,0,0
23,=17,Long Xiaoqing,CHN,NA,"Individual, Women",ARC,Female,27 February 1997,0,0
24,=17,Veronika Marchenko,UKR,NA,"Individual, Women",ARC,Female,3 April 1993,157,48
25,=17,Jennifer Mucino-Fernandez,USA,NA,"Individual, Women",ARC,Female,18 December 2002,0,0
26,=17,Reena Pärnat,EST,NA,"Individual, Women",ARC,Female,1 December 1993,167,54
27,=17,Chiara Rebagliati,ITA,NA,"Individual, Women",ARC,Female,23 January 1997,0,0
28,=17,Aída Román,MEX,NA,"Individual, Women",ARC,Female,21 May 1988,169,64
29,=17,Gabriela Schloesser,NED,NA,"Individual, Women",ARC,Female,18 February 1994,168,73
30,=17,Azusa Yamauchi,JPN,NA,"Individual, Women",ARC,Female,11 September 1998,0,0
31,=17,Yang Xiaolei,CHN,NA,"Individual, Women",ARC,Female,28 June 2000,0,0
32,=33,Valentina Acosta,COL,NA,"Individual, Women",ARC,Female,20 April 2000,0,0
33,=33,Amal Adam,EGY,NA,"Individual, Women",ARC,Female,24 December 1981,0,0
34,=33,Mădălina Amăistroaie,ROU,NA,"Individual, Women",ARC,Female,9 December 2002,0,0
35,=33,Tatiana Andreoli,ITA,NA,"Individual, Women",ARC,Female,1 January 1999,0,0
36,=33,Denisa Baránková,SVK,NA,"Individual, Women",ARC,Female,7 September 2001,162,72
37,=33,Stephanie Barrett,CAN,NA,"Individual, Women",ARC,Female,26 January 1979,0,0
38,=33,Bishindeegiin Urantungalag,MGL,NA,"Individual, Women",ARC,Female,24 February 1977,175,74
39,=33,Christine Bjerendal,SWE,NA,"Individual, Women",ARC,Female,3 February 1987,161,59
40,=33,Diananda Choirunisa,INA,NA,"Individual, Women",ARC,Female,16 March 1997,0,0
41,=33,Inés de Velasco,ESP,NA,"Individual, Women",ARC,Female,14 March 2002,0,0
42,=33,Đỗ Thị Ánh Nguyệt,VIE,NA,"Individual, Women",ARC,Female,15 January 2001,0,0
43,=33,Rihab El-Walid,TUN,NA,"Individual, Women",ARC,Female,14 June 1998,0,0
44,=33,Adriana Espinosa,ECU,NA,"Individual, Women",ARC,Female,18 July 1991,0,0
45,=33,Naomi Folkard,GBR,NA,"Individual, Women",ARC,Female,18 September 1983,169,76
46,=33,Svetlana Gomboyeva,ROC,NA,"Individual, Women",ARC,Female,8 June 1998,0,0
47,=33,Marie Horáčková,CZE,NA,"Individual, Women",ARC,Female,24 December 1997,0,0
48,=33,Marlyse Hourtou,CHA,NA,"Individual, Women",ARC,Female,29 July 1996,0,0
49,=33,Alice Ingley,AUS,NA,"Individual, Women",ARC,Female,13 January 1993,172,80
50,=33,Karma,BHU,NA,"Individual, Women",ARC,Female,6 June 1990,163,51
51,=33,Karyna Kazlouskaya,BLR,NA,"Individual, Women",ARC,Female,18 July 2000,0,0
52,=33,Lei Chien-Ying,TPE,NA,"Individual, Women",ARC,Female,17 April 1990,165,69
53,=33,Syaqiera Mashayikh,MAS,NA,"Individual, Women",ARC,Female,24 November 2000,0,0
54,=33,Alexandra Mîrca,MDA,NA,"Individual, Women",ARC,Female,11 October 1993,168,70
55,=33,Anastasiya Pavlova,UKR,NA,"Individual, Women",ARC,Female,9 February 1995,172,53
56,=33,Evangelia Psarra,GRE,NA,"Individual, Women",ARC,Female,17 June 1974,172,63
57,=33,Charline Schwarz,GER,NA,"Individual, Women",ARC,Female,15 January 2001,0,0
58,=33,Lidiya Sichenikova,UKR,NA,"Individual, Women",ARC,Female,3 February 1993,183,69
59,=33,Diya Siddique,BAN,NA,"Individual, Women",ARC,Female,19 February 2004,0,0
60,=33,Tan Ya-Ting,TPE,NA,"Individual, Women",ARC,Female,7 November 1993,158,53
61,=33,Lisa Unruh,GER,NA,"Individual, Women",ARC,Female,12 April 1988,180,68
62,=33,Ana Vázquez,MEX,NA,"Individual, Women",ARC,Female,5 October 2000,0,0
63,=33,Sylwia Zyzańska,POL,NA,"Individual, Women",ARC,Female,27 July 1997,0,0
0,1,Daiki Hashimoto,JPN,Gold,"Individual All-Around, Men",GYM,Male,7 August 2001,0,0
1,2,Xiao Ruoteng,CHN,Silver,"Individual All-Around, Men",GYM,Male,30 January 1996,0,0
2,3,Nikita Nagorny,ROC,Bronze,"Individual All-Around, Men",GYM,Male,12 February 1997,166,67
3,4,Sun Wei,CHN,NA,"Individual All-Around, Men",GYM,Male,12 August 1995,0,0
4,5,Takeru Kitazono,JPN,NA,"Individual All-Around, Men",GYM,Male,21 October 2002,0,0
5,6,Artur Dalaloyan,ROC,NA,"Individual All-Around, Men",GYM,Male,26 April 1996,0,0
6,7,Tang Chia-Hung,TPE,NA,"Individual All-Around, Men",GYM,Male,23 September 1996,0,0
7,8,James Hall,GBR,NA,"Individual All-Around, Men",GYM,Male,6 October 1995,0,0
8,9,Joe Fraser,GBR,NA,"Individual All-Around, Men",GYM,Male,6 December 1998,0,0
9,10,Brody Malone,USA,NA,"Individual All-Around, Men",GYM,Male,7 January 2000,0,0
10,11,Illia Kovtun,UKR,NA,"Individual All-Around, Men",GYM,Male,10 August 2003,0,0
11,12,Sam Mikulak,USA,NA,"Individual All-Around, Men",GYM,Male,13 October 1992,165,64
12,13,Benjamin Gischard,SUI,NA,"Individual All-Around, Men",GYM,Male,17 November 1995,162,62
13,14,Milad Karimi,KAZ,NA,"Individual All-Around, Men",GYM,Male,21 June 1999,0,0
14,15,Adem Asil,TUR,NA,"Individual All-Around, Men",GYM,Male,21 February 1999,0,0
15,16,Eddy Yusof,SUI,NA,"Individual All-Around, Men",GYM,Male,2 October 1994,165,63
16,17,Caio Souza,BRA,NA,"Individual All-Around, Men",GYM,Male,12 September 1993,0,0
17,18,Lukas Dauser,GER,NA,"Individual All-Around, Men",GYM,Male,15 June 1993,172,64
18,19,Petro Paxnyuk,UKR,NA,"Individual All-Around, Men",GYM,Male,26 November 1991,173,64
19,20,Diogo Soares,BRA,NA,"Individual All-Around, Men",GYM,Male,12 April 2002,0,0
20,21,Lee Chih-Kai,TPE,NA,"Individual All-Around, Men",GYM,Male,3 April 1996,170,65
21,22,Lee Jun-Ho,KOR,NA,"Individual All-Around, Men",GYM,Male,22 October 1995,0,0
22,23,Philipp Herder,GER,NA,"Individual All-Around, Men",GYM,Male,21 October 1992,0,0
23,AC r2/2,Ahmet Önder,TUR,NA,"Individual All-Around, Men",GYM,Male,12 July 1996,0,0
24,9 r1/2,Kazuma Kaya,JPN,NA,"Individual All-Around, Men",GYM,Male,19 November 1996,0,0
25,10 r1/2,David Belyavsky,ROC,NA,"Individual All-Around, Men",GYM,Male,23 February 1992,165,55
26,12 r1/2,Lin Chaopan,CHN,NA,"Individual All-Around, Men",GYM,Male,27 August 1995,163,60
27,13 r1/2,Wataru Tanigawa,JPN,NA,"Individual All-Around, Men",GYM,Male,23 July 1996,0,0
28,19 r1/2,Yul Moldauer,USA,NA,"Individual All-Around, Men",GYM,Male,26 August 1996,0,0
29,21 r1/2,Shane Wiskus,USA,NA,"Individual All-Around, Men",GYM,Male,1 October 1998,0,0
30,23 r1/2,Giarnni Regini-Moran,GBR,NA,"Individual All-Around, Men",GYM,Male,2 August 1998,0,0
31,29 r1/2,Aleksandr Kartsev,ROC,NA,"Individual All-Around, Men",GYM,Male,31 December 2001,0,0
32,30 r1/2,Andreas Toba,GER,NA,"Individual All-Around, Men",GYM,Male,7 October 1990,172,65
33,32 r1/2,Nils Dunkel,GER,NA,"Individual All-Around, Men",GYM,Male,20 February 1997,0,0
34,33 r1/2,Christian Baumann,SUI,NA,"Individual All-Around, Men",GYM,Male,25 February 1995,163,60
35,35 r1/2,Pablo Brägger,SUI,NA,"Individual All-Around, Men",GYM,Male,27 November 1992,169,64
36,37 r1/2,Joel Plata,ESP,NA,"Individual All-Around, Men",GYM,Male,20 March 1998,0,0
37,38 r1/2,Ludovico Edalli,ITA,NA,"Individual All-Around, Men",GYM,Male,18 December 1993,165,57
38,39 r1/2,Kim Han-Sol,KOR,NA,"Individual All-Around, Men",GYM,Male,29 December 1995,165,60
39,40 r1/2,Daniel Corral,MEX,NA,"Individual All-Around, Men",GYM,Male,25 January 1990,173,64
40,41 r1/2,Ryu Seong-Hyun,KOR,NA,"Individual All-Around, Men",GYM,Male,22 October 2002,0,0
41,42 r1/2,Francisco Barretto Júnior,BRA,NA,"Individual All-Around, Men",GYM,Male,31 October 1989,175,72
42,43 r1/2,Yevhen Yudenkov,UKR,NA,"Individual All-Around, Men",GYM,Male,10 April 1993,0,0
43,44 r1/2,Loris Frasca,FRA,NA,"Individual All-Around, Men",GYM,Male,3 July 1995,0,0
44,45 r1/2,Ivan Tikhonov,AZE,NA,"Individual All-Around, Men",GYM,Male,21 April 1996,170,
45,46 r1/2,Robert Tvorogal,LTU,NA,"Individual All-Around, Men",GYM,Male,5 October 1994,168,87
46,47 r1/2,Carlos Edriel Yulo,PHI,NA,"Individual All-Around, Men",GYM,Male,16 February 2000,0,0
47,48 r1/2,Nicolau Mir,ESP,NA,"Individual All-Around, Men",GYM,Male,10 May 2000,0,0
48,49 r1/2,Rasuljon Abdurakhimov,UZB,NA,"Individual All-Around, Men",GYM,Male,3 October 1996,0,0
49,50 r1/2,Marios Georgiou,CYP,NA,"Individual All-Around, Men",GYM,Male,10 November 1997,167,63
50,51 r1/2,Omar Mohamed,EGY,NA,"Individual All-Around, Men",GYM,Male,10 February 1999,0,0
51,52 r1/2,Misha Koudinov,NZL,NA,"Individual All-Around, Men",GYM,Male,23 June 1991,160,59
52,53 r1/2,Néstor Abad,ESP,NA,"Individual All-Around, Men",GYM,Male,29 March 1993,167,64
53,54 r1/2,Shiao Yu-Jan,TPE,NA,"Individual All-Around, Men",GYM,Male,9 December 1999,0,0
54,55 r1/2,René Cournoyer,CAN,NA,"Individual All-Around, Men",GYM,Male,23 April 1997,165,64
55,56 r1/2,Thierno Diallo,ESP,NA,"Individual All-Around, Men",GYM,Male,22 November 2000,0,0
56,57 r1/2,David Jessen,CZE,NA,"Individual All-Around, Men",GYM,Male,5 December 1996,175,68
57,58 r1/2,Uche Eke,NGR,NA,"Individual All-Around, Men",GYM,Male,12 August 1997,0,0
58,59 r1/2,David Huddleston,BUL,NA,"Individual All-Around, Men",GYM,Male,9 August 2000,0,0
59,60 r1/2,Hung Yuan-Hsi,TPE,NA,"Individual All-Around, Men",GYM,Male,27 July 2001,160,
60,61 r1/2,David Rumbutis,SWE,NA,"Individual All-Around, Men",GYM,Male,17 March 2000,0,0
61,62 r1/2,Jeremiah Loo,MAS,NA,"Individual All-Around, Men",GYM,Male,28 September 1997,0,0
62,AC r1/2,Denis Ablyazin,ROC,NA,"Individual All-Around, Men",GYM,Male,3 August 1992,161,62
63,AC r1/2,Arthur Mariano,BRA,NA,"Individual All-Around, Men",GYM,Male,18 September 1993,169,65
64,AC r1/2,Vladislav Polyashov,ROC,NA,"Individual All-Around, Men",GYM,Male,4 April 1995,0,0
65,AC r1/2,Zou Jingyuan,CHN,NA,"Individual All-Around, Men",GYM,Male,3 January 1998,0,0
0,1,Artem Dolgopyat,ISR,Gold,"Floor Exercise, Men",GYM,Male,16 June 1997,0,0
1,2,Ray Zapata,ESP,Silver,"Floor Exercise, Men",GYM,Male,26 May 1993,169,71
2,3,Xiao Ruoteng,CHN,Bronze,"Floor Exercise, Men",GYM,Male,30 January 1996,0,0
3,4,Ryu Seong-Hyun,KOR,NA,"Floor Exercise, Men",GYM,Male,22 October 2002,0,0
4,5,Milad Karimi,KAZ,NA,"Floor Exercise, Men",GYM,Male,21 June 1999,0,0
5,6,Yul Moldauer,USA,NA,"Floor Exercise, Men",GYM,Male,26 August 1996,0,0
6,7,Nikita Nagorny,ROC,NA,"Floor Exercise, Men",GYM,Male,12 February 1997,166,67
7,8,Kim Han-Sol,KOR,NA,"Floor Exercise, Men",GYM,Male,29 December 1995,165,60
8,9 r1/2,Shane Wiskus,USA,NA,"Floor Exercise, Men",GYM,Male,1 October 1998,0,0
9,10 r1/2,Daiki Hashimoto,JPN,NA,"Floor Exercise, Men",GYM,Male,7 August 2001,0,0
10,11 r1/2,Takeru Kitazono,JPN,NA,"Floor Exercise, Men",GYM,Male,21 October 2002,0,0
11,12 r1/2,Giarnni Regini-Moran,GBR,NA,"Floor Exercise, Men",GYM,Male,2 August 1998,0,0
12,13 r1/2,Ahmet Önder,TUR,NA,"Floor Exercise, Men",GYM,Male,12 July 1996,0,0
13,14 r1/2,Wataru Tanigawa,JPN,NA,"Floor Exercise, Men",GYM,Male,23 July 1996,0,0
14,15 r1/2,Sam Mikulak,USA,NA,"Floor Exercise, Men",GYM,Male,13 October 1992,165,64
15,16 r1/2,Tang Chia-Hung,TPE,NA,"Floor Exercise, Men",GYM,Male,23 September 1996,0,0
16,17 r1/2,Sun Wei,CHN,NA,"Floor Exercise, Men",GYM,Male,12 August 1995,0,0
17,18 r1/2,Denis Ablyazin,ROC,NA,"Floor Exercise, Men",GYM,Male,3 August 1992,161,62
18,19 r1/2,Benjamin Gischard,SUI,NA,"Floor Exercise, Men",GYM,Male,17 November 1995,162,62
19,20 r1/2,Diogo Soares,BRA,NA,"Floor Exercise, Men",GYM,Male,12 April 2002,0,0
20,21 r1/2,Lee Chih-Kai,TPE,NA,"Floor Exercise, Men",GYM,Male,3 April 1996,170,65
21,22 r1/2,Pablo Brägger,SUI,NA,"Floor Exercise, Men",GYM,Male,27 November 1992,169,64
22,23 r1/2,Joe Fraser,GBR,NA,"Floor Exercise, Men",GYM,Male,6 December 1998,0,0
23,24 r1/2,Adem Asil,TUR,NA,"Floor Exercise, Men",GYM,Male,21 February 1999,0,0
24,25 r1/2,Caio Souza,BRA,NA,"Floor Exercise, Men",GYM,Male,12 September 1993,0,0
25,26 r1/2,Lin Chaopan,CHN,NA,"Floor Exercise, Men",GYM,Male,27 August 1995,163,60
26,27 r1/2,Kazuma Kaya,JPN,NA,"Floor Exercise, Men",GYM,Male,19 November 1996,0,0
27,28 r1/2,Yevhen Yudenkov,UKR,NA,"Floor Exercise, Men",GYM,Male,10 April 1993,0,0
28,29 r1/2,James Hall,GBR,NA,"Floor Exercise, Men",GYM,Male,6 October 1995,0,0
29,30 r1/2,Christian Baumann,SUI,NA,"Floor Exercise, Men",GYM,Male,25 February 1995,163,60
30,31 r1/2,Shiao Yu-Jan,TPE,NA,"Floor Exercise, Men",GYM,Male,9 December 1999,0,0
31,32 r1/2,Lukas Dauser,GER,NA,"Floor Exercise, Men",GYM,Male,15 June 1993,172,64
32,33 r1/2,Ludovico Edalli,ITA,NA,"Floor Exercise, Men",GYM,Male,18 December 1993,165,57
33,34 r1/2,Philipp Herder,GER,NA,"Floor Exercise, Men",GYM,Male,21 October 1992,0,0
34,35 r1/2,Aleksandr Kartsev,ROC,NA,"Floor Exercise, Men",GYM,Male,31 December 2001,0,0
35,36 r1/2,Lee Jun-Ho,KOR,NA,"Floor Exercise, Men",GYM,Male,22 October 1995,0,0
36,37 r1/2,Artur Dalaloyan,ROC,NA,"Floor Exercise, Men",GYM,Male,26 April 1996,0,0
37,38 r1/2,Loris Frasca,FRA,NA,"Floor Exercise, Men",GYM,Male,3 July 1995,0,0
38,39 r1/2,Brody Malone,USA,NA,"Floor Exercise, Men",GYM,Male,7 January 2000,0,0
39,40 r1/2,Néstor Abad,ESP,NA,"Floor Exercise, Men",GYM,Male,29 March 1993,167,64
40,41 r1/2,Robert Tvorogal,LTU,NA,"Floor Exercise, Men",GYM,Male,5 October 1994,168,87
41,42 r1/2,Tomás González,CHI,NA,"Floor Exercise, Men",GYM,Male,22 November 1985,171,55
42,43 r1/2,Petro Paxnyuk,UKR,NA,"Floor Exercise, Men",GYM,Male,26 November 1991,173,64
43,44 r1/2,Carlos Edriel Yulo,PHI,NA,"Floor Exercise, Men",GYM,Male,16 February 2000,0,0
44,45 r1/2,Nicolau Mir,ESP,NA,"Floor Exercise, Men",GYM,Male,10 May 2000,0,0
45,46 r1/2,Eddy Yusof,SUI,NA,"Floor Exercise, Men",GYM,Male,2 October 1994,165,63
46,47 r1/2,Aleksandr Shatilov,ISR,NA,"Floor Exercise, Men",GYM,Male,22 March 1987,182,77
47,48 r1/2,Joel Plata,ESP,NA,"Floor Exercise, Men",GYM,Male,20 March 1998,0,0
48,49 r1/2,David Jessen,CZE,NA,"Floor Exercise, Men",GYM,Male,5 December 1996,175,68
49,50 r1/2,Marios Georgiou,CYP,NA,"Floor Exercise, Men",GYM,Male,10 November 1997,167,63
50,51 r1/2,Misha Koudinov,NZL,NA,"Floor Exercise, Men",GYM,Male,23 June 1991,160,59
51,52 r1/2,Hung Yuan-Hsi,TPE,NA,"Floor Exercise, Men",GYM,Male,27 July 2001,160,
52,53 r1/2,Ivan Tikhonov,AZE,NA,"Floor Exercise, Men",GYM,Male,21 April 1996,170,
53,54 r1/2,Omar Mohamed,EGY,NA,"Floor Exercise, Men",GYM,Male,10 February 1999,0,0
54,55 r1/2,Daniel Corral,MEX,NA,"Floor Exercise, Men",GYM,Male,25 January 1990,173,64
55,56 r1/2,Jeremiah Loo,MAS,NA,"Floor Exercise, Men",GYM,Male,28 September 1997,0,0
56,57 r1/2,Francisco Barretto Júnior,BRA,NA,"Floor Exercise, Men",GYM,Male,31 October 1989,175,72
57,58 r1/2,Nils Dunkel,GER,NA,"Floor Exercise, Men",GYM,Male,20 February 1997,0,0
58,59 r1/2,David Belyavsky,ROC,NA,"Floor Exercise, Men",GYM,Male,23 February 1992,165,55
59,60 r1/2,Illia Kovtun,UKR,NA,"Floor Exercise, Men",GYM,Male,10 August 2003,0,0
60,61 r1/2,Uche Eke,NGR,NA,"Floor Exercise, Men",GYM,Male,12 August 1997,0,0
61,62 r1/2,Andreas Toba,GER,NA,"Floor Exercise, Men",GYM,Male,7 October 1990,172,65
62,63 r1/2,Arthur Mariano,BRA,NA,"Floor Exercise, Men",GYM,Male,18 September 1993,169,65
63,64 r1/2,Rasuljon Abdurakhimov,UZB,NA,"Floor Exercise, Men",GYM,Male,3 October 1996,0,0
64,65 r1/2,David Huddleston,BUL,NA,"Floor Exercise, Men",GYM,Male,9 August 2000,0,0
65,66 r1/2,Thierno Diallo,ESP,NA,"Floor Exercise, Men",GYM,Male,22 November 2000,0,0
66,67 r1/2,David Rumbutis,SWE,NA,"Floor Exercise, Men",GYM,Male,17 March 2000,0,0
67,68 r1/2,René Cournoyer,CAN,NA,"Floor Exercise, Men",GYM,Male,23 April 1997,165,64
68,DNS,Vladislav Polyashov,ROC,NA,"Floor Exercise, Men",GYM,Male,4 April 1995,0,0
69,DNS,Zou Jingyuan,CHN,NA,"Floor Exercise, Men",GYM,Male,3 January 1998,0,0
0,1,Sin Jae-Hwan,KOR,Gold,"Horse Vault, Men",GYM,Male,3 March 1998,0,0
1,2,Denis Ablyazin,ROC,Silver,"Horse Vault, Men",GYM,Male,3 August 1992,161,62
2,3,Artur Davtyan,ARM,Bronze,"Horse Vault, Men",GYM,Male,8 August 1992,162,55
3,4,Carlos Edriel Yulo,PHI,NA,"Horse Vault, Men",GYM,Male,16 February 2000,0,0
4,5,Nikita Nagorny,ROC,NA,"Horse Vault, Men",GYM,Male,12 February 1997,166,67
5,6,Adem Asil,TUR,NA,"Horse Vault, Men",GYM,Male,21 February 1999,0,0
6,7,Ahmet Önder,TUR,NA,"Horse Vault, Men",GYM,Male,12 July 1996,0,0
7,8,Caio Souza,BRA,NA,"Horse Vault, Men",GYM,Male,12 September 1993,0,0
