,Position,Athlete,NOC,Medal,Event,Sport,Sex,Birth,Height,Weight,Age
48,=33,Patrick Huston,GBR,,"Individual, Men",ARC,Male,1996-01-05,183,84,25
49,=33,Yuki Kawata,JPN,,"Individual, Men",ARC,Male,1997-06-16,0,0,24
50,=33,Sanzhar Mussayev,KAZ,,"Individual, Men",ARC,Male,1996-04-11,0,0,25
51,=33,Hiroki Muto,JPN,,"Individual, Men",ARC,Male,1997-06-26,0,0,24
52,=33,Sławomir Napłoszek,POL,,"Individual, Men",ARC,Male,1968-07-29,185,82,53
53,=33,Nguyễn Hoàng Phi Vũ,VIE,,"Individual, Men",ARC,Male,1999-06-27,0,0,22
54,=33,Dan Olaru,MDA,,"Individual, Men",ARC,Male,1996-11-11,175,70,24
55,=33,Daniel Piñeda,COL,,"Individual, Men",ARC,Male,1993-11-05,186,83,27
56,=33,Alviyanto Prastyadi,INA,,"Individual, Men",ARC,Male,2002-02-18,0,0,19
57,=33,Žiga Ravnikar,SLO,,"Individual, Men",ARC,Male,1999-12-25,0,0,21
58,=33,Youssof Tolba,EGY,,"Individual, Men",ARC,Male,2001-01-30,186,71,20
59,=33,Jean-Charles Valladont,FRA,,"Individual, Men",ARC,Male,1989-03-20,180,83,32
60,=33,Milad Vaziri,IRI,,"Individual, Men",ARC,Male,1988-06-09,184,84,33
61,=33,Antti Vikström,FIN,,"Individual, Men",ARC,Male,1993-01-15,0,0,28
62,=33,Jack Williams,USA,,"Individual, Men",ARC,Male,2000-04-22,0,0,21
63,=33,James Woodgate,GBR,,"Individual, Men",ARC,Male,2002-05-29,0,0,19
64,1,An San,KOR,Gold,"Individual, Women",ARC,Female,2001-02-27,0,0,20
65,2,Yelena Osipova,ROC,Silver,"Individual, Women",ARC,Female,1993-05-22,0,0,28
66,3,Lucilla Boari,ITA,Bronze,"Individual, Women",ARC,Female,1997-03-24,162,82,24
67,4,Mackenzie Brown,USA,,"Individual, Women",ARC,Female,1995-03-14,178,75,26
68,5,Alejandra Valencia,MEX,,"Individual, Women",ARC,Female,1994-10-17,175,74,26
69,6,Wu Jiaxin,CHN,,"Individual, Women",ARC,Female,1997-02-28,164,72,24
70,7,Kang Chae-Yeong,KOR,,"Individual, Women",ARC,Female,1996-06-08,0,0,25
71,8,Deepika Kumari,IND,,"Individual, Women",ARC,Female,1994-06-13,163,61,27
72,=9,Yasemin Anagöz,TUR,,"Individual, Women",ARC,Female,1998-10-14,165,66,22
73,=9,Lisa Barbelin,FRA,,"Individual, Women",ARC,Female,2000-04-10,0,0,21
74,=9,Ren Hayakawa,JPN,,"Individual, Women",ARC,Female,1987-08-24,179,65,33
75,=9,Lin Chia-En,TPE,,"Individual, Women",ARC,Female,1993-06-02,166,55,28
76,=9,Hanna Marusava,BLR,,"Individual, Women",ARC,Female,1978-01-08,166,59,43
77,=9,Miki Nakamura,JPN,,"Individual, Women",ARC,Female,1992-09-12,0,0,28
78,=9,Kseniya Perova,ROC,,"Individual, Women",ARC,Female,1989-02-08,169,77,32
79,=9,Bryony Pitman,GBR,,"Individual, Women",ARC,Female,1997-03-13,0,0,24
80,=17,Sarah Bettles,GBR,,"Individual, Women",ARC,Female,1992-10-16,0,0,28
81,=17,Ane Marcelle,BRA,,"Individual, Women",ARC,Female,1994-01-12,153,53,27
82,=17,Karyna Dziominskaya,BLR,,"Individual, Women",ARC,Female,1994-08-25,0,0,26
83,=17,Maja Jager,DEN,,"Individual, Women",ARC,Female,1991-12-22,168,55,29
84,=17,Jang Min-Hui,KOR,,"Individual, Women",ARC,Female,1999-04-05,0,0,22
85,=17,Casey Kaufhold,USA,,"Individual, Women",ARC,Female,2004-03-06,0,0,17
86,=17,Michelle Kroppen,GER,,"Individual, Women",ARC,Female,1996-04-19,0,0,25
87,=17,Long Xiaoqing,CHN,,"Individual, Women",ARC,Female,1997-02-27,0,0,24
88,=17,Veronika Marchenko,UKR,,"Individual, Women",ARC,Female,1993-04-03,157,48,28
89,=17,Jennifer Mucino-Fernandez,USA,,"Individual, Women",ARC,Female,2002-12-18,0,0,18
90,=17,Reena Pärnat,EST,,"Individual, Women",ARC,Female,1993-12-01,167,54,27
91,=17,Chiara Rebagliati,ITA,,"Individual, Women",ARC,Female,1997-01-23,0,0,24
92,=17,Aída Román,MEX,,"Individual, Women",ARC,Female,1988-05-21,169,64,33
93,=17,Gabriela Schloesser,NED,,"Individual, Women",ARC,Female,1994-02-18,168,73,27
94,=17,Azusa Yamauchi,JPN,,"Individual, Women",ARC,Female,1998-09-11,0,0,22
95,=17,Yang Xiaolei,CHN,,"Individual, Women",ARC,Female,2000-06-28,0,0,21
96,=33,Valentina Acosta,COL,,"Individual, Women",ARC,Female,2000-04-20,0,0,21
97,=33,Amal Adam,EGY,,"Individual, Women",ARC,Female,1981-12-24,0,0,39
98,=33,Mădălina Amăistroaie,ROU,,"Individual, Women",ARC,Female,2002-12-09,0,0,18
99,=33,Tatiana Andreoli,ITA,,"Individual, Women",ARC,Female,1999-01-01,0,0,22
100,=33,Denisa Baránková,SVK,,"Individual, Women",ARC,Female,2001-09-07,162,72,19
101,=33,Stephanie Barrett,CAN,,"Individual, Women",ARC,Female,1979-01-26,0,0,42
102,=33,Bishindeegiin Urantungalag,MGL,,"Individual, Women",ARC,Female,1977-02-24,175,74,44
103,=33,Christine Bjerendal,SWE,,"Individual, Women",ARC,Female,1987-02-03,161,59,34
104,=33,Diananda Choirunisa,INA,,"Individual, Women",ARC,Female,1997-03-16,0,0,24
105,=33,Inés de Velasco,ESP,,"Individual, Women",ARC,Female,2002-03-14,0,0,19
106,=33,Đỗ Thị Ánh Nguyệt,VIE,,"Individual, Women",ARC,Female,2001-01-15,0,0,20
107,=33,Rihab El-Walid,TUN,,"Individual, Women",ARC,Female,1998-06-14,0,0,23
108,=33,Adriana Espinosa,ECU,,"Individual, Women",ARC,Female,1991-07-18,0,0,30
109,=33,Naomi Folkard,GBR,,"Individual, Women",ARC,Female,1983-09-18,169,76,37
110,=33,Svetlana Gomboyeva,ROC,,"Individual, Women",ARC,Female,1998-06-08,0,0,23
111,=33,Marie Horáčková,CZE,,"Individual, Women",ARC,Female,1997-12-24,0,0,23
112,=33,Marlyse Hourtou,CHA,,"Individual, Women",ARC,Female,1996-07-29,0,0,25
113,=33,Alice Ingley,AUS,,"Individual, Women",ARC,Female,1993-01-13,172,80,28
114,=33,Karma,BHU,,"Individual, Women",ARC,Female,1990-06-06,163,51,31
115,=33,Karyna Kazlouskaya,BLR,,"Individual, Women",ARC,Female,2000-07-18,0,0,21
116,=33,Lei Chien-Ying,TPE,,"Individual, Women",ARC,Female,1990-04-17,165,69,31
117,=33,Syaqiera Mashayikh,MAS,,"Individual, Women",ARC,Female,2000-11-24,0,0,20
118,=33,Alexandra Mîrca,MDA,,"Individual, Women",ARC,Female,1993-10-11,168,70,27
119,=33,Anastasiya Pavlova,UKR,,"Individual, Women",ARC,Female,1995-02-09,172,53,26
120,=33,Evangelia Psarra,GRE,,"Individual, Women",ARC,Female,1974-06-17,172,63,47
121,=33,Charline Schwarz,GER,,"Individual, Women",ARC,Female,2001-01-15,0,0,20
122,=33,Lidiya Sichenikova,UKR,,"Individual, Women",ARC,Female,1993-02-03,183,69,28
123,=33,Diya Siddique,BAN,,"Individual, Women",ARC,Female,2004-02-19,0,0,17
124,=33,Tan Ya-Ting,TPE,,"Individual, Women",ARC,Female,1993-11-07,158,53,27
125,=33,Lisa Unruh,GER,,"Individual, Women",ARC,Female,1988-04-12,180,68,33
126,=33,Ana Vázquez,MEX,,"Individual, Women",ARC,Female,2000-10-05,0,0,20
127,=33,Sylwia Zyzańska,POL,,"Individual, Women",ARC,Female,1997-07-27,0,0,24
128,1,Daiki Hashimoto,JPN,Gold,"Individual All-Around, Men",GYM,Male,2001-08-07,0,0,19
129,2,Xiao Ruoteng,CHN,Silver,"Individual All-Around, Men",GYM,Male,1996-01-30,0,0,25
130,3,Nikita Nagorny,ROC,Bronze,"Individual All-Around, Men",GYM,Male,1997-02-12,166,67,24
131,4,Sun Wei,CHN,,"Individual All-Around, Men",GYM,Male,1995-08-12,0,0,25
132,5,Takeru Kitazono,JPN,,"Individual All-Around, Men",GYM,Male,2002-10-21,0,0,18
133,6,Artur Dalaloyan,ROC,,"Individual All-Around, Men",GYM,Male,1996-04-26,0,0,25
134,7,Tang Chia-Hung,TPE,,"Individual All-Around, Men",GYM,Male,1996-09-23,0,0,24
135,8,James Hall,GBR,,"Individual All-Around, Men",GYM,Male,1995-10-06,0,0,25
136,9,Joe Fraser,GBR,,"Individual All-Around, Men",GYM,Male,1998-12-06,0,0,22
137,10,Brody Malone,USA,,"Individual All-Around, Men",GYM,Male,2000-01-07,0,0,21
138,11,Illia Kovtun,UKR,,"Individual All-Around, Men",GYM,Male,2003-08-10,0,0,17
139,12,Sam Mikulak,USA,,"Individual All-Around, Men",GYM,Male,1992-10-13,165,64,28
140,13,Benjamin Gischard,SUI,,"Individual All-Around, Men",GYM,Male,1995-11-17,162,62,25
141,14,Milad Karimi,KAZ,,"Individual All-Around, Men",GYM,Male,1999-06-21,0,0,22
142,15,Adem Asil,TUR,,"Individual All-Around, Men",GYM,Male,1999-02-21,0,0,22
143,16,Eddy Yusof,SUI,,"Individual All-Around, Men",GYM,Male,1994-10-02,165,63,26
144,17,Caio Souza,BRA,,"Individual All-Around, Men",GYM,Male,1993-09-12,0,0,27
145,18,Lukas Dauser,GER,,"Individual All-Around, Men",GYM,Male,1993-06-15,172,64,28
146,19,Petro Paxnyuk,UKR,,"Individual All-Around, Men",GYM,Male,1991-11-26,173,64,29
147,20,Diogo Soares,BRA,,"Individual All-Around, Men",GYM,Male,2002-04-12,0,0,19
148,21,Lee Chih-Kai,TPE,,"Individual All-Around, Men",GYM,Male,1996-04-03,170,65,25
149,22,Lee Jun-Ho,KOR,,"Individual All-Around, Men",GYM,Male,1995-10-22,0,0,25
150,23,Philipp Herder,GER,,"Individual All-Around, Men",GYM,Male,1992-10-21,0,0,28
151,AC r2/2,Ahmet Önder,TUR,,"Individual All-Around, Men",GYM,Male,1996-07-12,0,0,25
152,9 r1/2,Kazuma Kaya,JPN,,"Individual All-Around, Men",GYM,Male,1996-11-19,0,0,24
153,10 r1/2,David Belyavsky,ROC,,"Individual All-Around, Men",GYM,Male,1992-02-23,165,55,29
154,12 r1/2,Lin Chaopan,CHN,,"Individual All-Around, Men",GYM,Male,1995-08-27,163,60,25
155,13 r1/2,Wataru Tanigawa,JPN,,"Individual All-Around, Men",GYM,Male,1996-07-23,0,0,25
156,19 r1/2,Yul Moldauer,USA,,"Individual All-Around, Men",GYM,Male,1996-08-26,0,0,24
157,21 r1/2,Shane Wiskus,USA,,"Individual All-Around, Men",GYM,Male,1998-10-01,0,0,22
158,23 r1/2,Giarnni Regini-Moran,GBR,,"Individual All-Around, Men",GYM,Male,1998-08-02,0,0,22
159,29 r1/2,Aleksandr Kartsev,ROC,,"Individual All-Around, Men",GYM,Male,2001-12-31,0,0,19
160,30 r1/2,Andreas Toba,GER,,"Individual All-Around, Men",GYM,Male,1990-10-07,172,65,30
161,32 r1/2,Nils Dunkel,GER,,"Individual All-Around, Men",GYM,Male,1997-02-20,0,0,24
162,33 r1/2,Christian Baumann,SUI,,"Individual All-Around, Men",GYM,Male,1995-02-25,163,60,26
163,35 r1/2,Pablo Brägger,SUI,,"Individual All-Around, Men",GYM,Male,1992-11-27,169,64,28
164,37 r1/2,Joel Plata,ESP,,"Individual All-Around, Men",GYM,Male,1998-03-20,0,0,23
165,38 r1/2,Ludovico Edalli,ITA,,"Individual All-Around, Men",GYM,Male,1993-12-18,165,57,27
166,39 r1/2,Kim Han-Sol,KOR,,"Individual All-Around, Men",GYM,Male,1995-12-29,165,60,25
167,40 r1/2,Daniel Corral,MEX,,"Individual All-Around, Men",GYM,Male,1990-01-25,173,64,31
168,41 r1/2,Ryu Seong-Hyun,KOR,,"Individual All-Around, Men",GYM,Male,2002-10-22,0,0,18
169,42 r1/2,Francisco Barretto Júnior,BRA,,"Individual All-Around, Men",GYM,Male,1989-10-31,175,72,31
170,43 r1/2,Yevhen Yudenkov,UKR,,"Individual All-Around, Men",GYM,Male,1993-04-10,0,0,28
171,44 r1/2,Loris Frasca,FRA,,"Individual All-Around, Men",GYM,Male,1995-07-03,0,0,26
172,45 r1/2,Ivan Tikhonov,AZE,,"Individual All-Around, Men",GYM,Male,1996-04-21,170,,25
173,46 r1/2,Robert Tvorogal,LTU,,"Individual All-Around, Men",GYM,Male,1994-10-05,168,87,26
174,47 r1/2,Carlos Edriel Yulo,PHI,,"Individual All-Around, Men",GYM,Male,2000-02-16,0,0,21
175,48 r1/2,Nicolau Mir,ESP,,"Individual All-Around, Men",GYM,Male,2000-05-10,0,0,21
176,49 r1/2,Rasuljon Abdurakhimov,UZB,,"Individual All-Around, Men",GYM,Male,1996-10-03,0,0,24
177,50 r1/2,Marios Georgiou,CYP,,"Individual All-Around, Men",GYM,Male,1997-11-10,167,63,23
178,51 r1/2,Omar Mohamed,EGY,,"Individual All-Around, Men",GYM,Male,1999-02-10,0,0,22
179,52 r1/2,Misha Koudinov,NZL,,"Individual All-Around, Men",GYM,Male,1991-06-23,160,59,30
180,53 r1/2,Néstor Abad,ESP,,"Individual All-Around, Men",GYM,Male,1993-03-29,167,64,28
181,54 r1/2,Shiao Yu-Jan,TPE,,"Individual All-Around, Men",GYM,Male,1999-12-09,0,0,21
182,55 r1/2,René Cournoyer,CAN,,"Individual All-Around, Men",GYM,Male,1997-04-23,165,64,24
183,56 r1/2,Thierno Diallo,ESP,,"Individual All-Around, Men",GYM,Male,2000-11-22,0,0,20
184,57 r1/2,David Jessen,CZE,,"Individual All-Around, Men",GYM,Male,1996-12-05,175,68,24
185,58 r1/2,Uche Eke,NGR,,"Individual All-Around, Men",GYM,Male,1997-08-12,0,0,23
186,59 r1/2,David Huddleston,BUL,,"Individual All-Around, Men",GYM,Male,2000-08-09,0,0,20
187,60 r1/2,Hung Yuan-Hsi,TPE,,"Individual All-Around, Men",GYM,Male,2001-07-27,160,,20
188,61 r1/2,David Rumbutis,SWE,,"Individual All-Around, Men",GYM,Male,2000-03-17,0,0,21
189,62 r1/2,Jeremiah Loo,MAS,,"Individual All-Around, Men",GYM,Male,1997-09-28,0,0,23
190,AC r1/2,Denis Ablyazin,ROC,,"Individual All-Around, Men",GYM,Male,1992-08-03,161,62,28
191,AC r1/2,Arthur Mariano,BRA,,"Individual All-Around, Men",GYM,Male,1993-09-18,169,65,27
192,AC r1/2,Vladislav Polyashov,ROC,,"Individual All-Around, Men",GYM,Male,1995-04-04,0,0,26
193,AC r1/2,Zou Jingyuan,CHN,,"Individual All-Around, Men",GYM,Male,1998-01-03,0,0,23
194,1,Artem Dolgopyat,ISR,Gold,"Floor Exercise, Men",GYM,Male,1997-06-16,0,0,24
195,2,Ray Zapata,ESP,Silver,"Floor Exercise, Men",GYM,Male,1993-05-26,169,71,28
196,3,Xiao Ruoteng,CHN,Bronze,"Floor Exercise, Men",GYM,Male,1996-01-30,0,0,25
197,4,Ryu Seong-Hyun,KOR,,"Floor Exercise, Men",GYM,Male,2002-10-22,0,0,18
198,5,Milad Karimi,KAZ,,"Floor Exercise, Men",GYM,Male,1999-06-21,0,0,22
199,6,Yul Moldauer,USA,,"Floor Exercise, Men",GYM,Male,1996-08-26,0,0,24
200,7,Nikita Nagorny,ROC,,"Floor Exercise, Men",GYM,Male,1997-02-12,166,67,24
201,8,Kim Han-Sol,KOR,,"Floor Exercise, Men",GYM,Male,1995-12-29,165,60,25
202,9 r1/2,Shane Wiskus,USA,,"Floor Exercise, Men",GYM,Male,1998-10-01,0,0,22
203,10 r1/2,Daiki Hashimoto,JPN,,"Floor Exercise, Men",GYM,Male,2001-08-07,0,0,19
204,11 r1/2,Takeru Kitazono,JPN,,"Floor Exercise, Men",GYM,Male,2002-10-21,0,0,18
205,12 r1/2,Giarnni Regini-Moran,GBR,,"Floor Exercise, Men",GYM,Male,1998-08-02,0,0,22
206,13 r1/2,Ahmet Önder,TUR,,"Floor Exercise, Men",GYM,Male,1996-07-12,0,0,25
207,14 r1/2,Wataru Tanigawa,JPN,,"Floor Exercise, Men",GYM,Male,1996-07-23,0,0,25
208,15 r1/2,Sam Mikulak,USA,,"Floor Exercise, Men",GYM,Male,1992-10-13,165,64,28
209,16 r1/2,Tang Chia-Hung,TPE,,"Floor Exercise, Men",GYM,Male,1996-09-23,0,0,24
210,17 r1/2,Sun Wei,CHN,,"Floor Exercise, Men",GYM,Male,1995-08-12,0,0,25
211,18 r1/2,Denis Ablyazin,ROC,,"Floor Exercise, Men",GYM,Male,1992-08-03,161,62,28
212,19 r1/2,Benjamin Gischard,SUI,,"Floor Exercise, Men",GYM,Male,1995-11-17,162,62,25
213,20 r1/2,Diogo Soares,BRA,,"Floor Exercise, Men",GYM,Male,2002-04-12,0,0,19
214,21 r1/2,Lee Chih-Kai,TPE,,"Floor Exercise, Men",GYM,Male,1996-04-03,170,65,25
215,22 r1/2,Pablo Brägger,SUI,,"Floor Exercise, Men",GYM,Male,1992-11-27,169,64,28
216,23 r1/2,Joe Fraser,GBR,,"Floor Exercise, Men",GYM,Male,1998-12-06,0,0,22
217,24 r1/2,Adem Asil,TUR,,"Floor Exercise, Men",GYM,Male,1999-02-21,0,0,22
218,25 r1/2,Caio Souza,BRA,,"Floor Exercise, Men",GYM,Male,1993-09-12,0,0,27
219,26 r1/2,Lin Chaopan,CHN,,"Floor Exercise, Men",GYM,Male,1995-08-27,163,60,25
220,27 r1/2,Kazuma Kaya,JPN,,"Floor Exercise, Men",GYM,Male,1996-11-19,0,0,24
221,28 r1/2,Yevhen Yudenkov,UKR,,"Floor Exercise, Men",GYM,Male,1993-04-10,0,0,28
222,29 r1/2,James Hall,GBR,,"Floor Exercise, Men",GYM,Male,1995-10-06,0,0,25
223,30 r1/2,Christian Baumann,SUI,,"Floor Exercise, Men",GYM,Male,1995-02-25,163,60,26
224,31 r1/2,Shiao Yu-Jan,TPE,,"Floor Exercise, Men",GYM,Male,1999-12-09,0,0,21
225,32 r1/2,Lukas Dauser,GER,,"Floor Exercise, Men",GYM,Male,1993-06-15,172,64,28
226,33 r1/2,Ludovico Edalli,ITA,,"Floor Exercise, Men",GYM,Male,1993-12-18,165,57,27
227,34 r1/2,Philipp Herder,GER,,"Floor Exercise, Men",GYM,Male,1992-10-21,0,0,28
228,35 r1/2,Aleksandr Kartsev,ROC,,"Floor Exercise, Men",GYM,Male,2001-12-31,0,0,19
229,36 r1/2,Lee Jun-Ho,KOR,,"Floor Exercise, Men",GYM,Male,1995-10-22,0,0,25
230,37 r1/2,Artur Dalaloyan,ROC,,"Floor Exercise, Men",GYM,Male,1996-04-26,0,0,25
231,38 r1/2,Loris Frasca,FRA,,"Floor Exercise, Men",GYM,Male,1995-07-03,0,0,26
232,39 r1/2,Brody Malone,USA,,"Floor Exercise, Men",GYM,Male,2000-01-07,0,0,21
233,40 r1/2,Néstor Abad,ESP,,"Floor Exercise, Men",GYM,Male,1993-03-29,167,64,28
234,41 r1/2,Robert Tvorogal,LTU,,"Floor Exercise, Men",GYM,Male,1994-10-05,168,87,26
235,42 r1/2,Tomás González,CHI,,"Floor Exercise, Men",GYM,Male,1985-11-22,171,55,35
236,43 r1/2,Petro Paxnyuk,UKR,,"Floor Exercise, Men",GYM,Male,1991-11-26,173,64,29
237,44 r1/2,Carlos Edriel Yulo,PHI,,"Floor Exercise, Men",GYM,Male,2000-02-16,0,0,21
238,45 r1/2,Nicolau Mir,ESP,,"Floor Exercise, Men",GYM,Male,2000-05-10,0,0,21
239,46 r1/2,Eddy Yusof,SUI,,"Floor Exercise, Men",GYM,Male,1994-10-02,165,63,26
240,47 r1/2,Aleksandr Shatilov,ISR,,"Floor Exercise, Men",GYM,Male,1987-03-22,182,77,34
241,48 r1/2,Joel Plata,ESP,,"Floor Exercise, Men",GYM,Male,1998-03-20,0,0,23
242,49 r1/2,David Jessen,CZE,,"Floor Exercise, Men",GYM,Male,1996-12-05,175,68,24
243,50 r1/2,Marios Georgiou,CYP,,"Floor Exercise, Men",GYM,Male,1997-11-10,167,63,23
244,51 r1/2,Misha Koudinov,NZL,,"Floor Exercise, Men",GYM,Male,1991-06-23,160,59,30
245,52 r1/2,Hung Yuan-Hsi,TPE,,"Floor Exercise, Men",GYM,Male,2001-07-27,160,,20
246,53 r1/2,Ivan Tikhonov,AZE,,"Floor Exercise, Men",GYM,Male,1996-04-21,170,,25
247,54 r1/2,Omar Mohamed,EGY,,"Floor Exercise, Men",GYM,Male,1999-02-10,0,0,22
248,55 r1/2,Daniel Corral,MEX,,"Floor Exercise, Men",GYM,Male,1990-01-25,173,64,31
249,56 r1/2,Jeremiah Loo,MAS,,"Floor Exercise, Men",GYM,Male,1997-09-28,0,0,23
250,57 r1/2,Francisco Barretto Júnior,BRA,,"Floor Exercise, Men",GYM,Male,1989-10-31,175,72,31
251,58 r1/2,Nils Dunkel,GER,,"Floor Exercise, Men",GYM,Male,1997-02-20,0,0,24
252,59 r1/2,David Belyavsky,ROC,,"Floor Exercise, Men",GYM,Male,1992-02-23,165,55,29
253,60 r1/2,Illia Kovtun,UKR,,"Floor Exercise, Men",GYM,Male,2003-08-10,0,0,17
254,61 r1/2,Uche Eke,NGR,,"Floor Exercise, Men",GYM,Male,1997-08-12,0,0,23
255,62 r1/2,Andreas Toba,GER,,"Floor Exercise, Men",GYM,Male,1990-10-07,172,65,30
256,63 r1/2,Arthur Mariano,BRA,,"Floor Exercise, Men",GYM,Male,1993-09-18,169,65,27
257,64 r1/2,Rasuljon Abdurakhimov,UZB,,"Floor Exercise, Men",GYM,Male,1996-10-03,0,0,24
258,65 r1/2,David Huddleston,BUL,,"Floor Exercise, Men",GYM,Male,2000-08-09,0,0,20
259,66 r1/2,Thierno Diallo,ESP,,"Floor Exercise, Men",GYM,Male,2000-11-22,0,0,20
260,67 r1/2,David Rumbutis,SWE,,"Floor Exercise, Men",GYM,Male,2000-03-17,0,0,21
261,68 r1/2,René Cournoyer,CAN,,"Floor Exercise, Men",GYM,Male,1997-04-23,165,64,24
262,DNS,Vladislav Polyashov,ROC,,"Floor Exercise, Men",GYM,Male,1995-04-04,0,0,26
263,DNS,Zou Jingyuan,CHN,,"Floor Exercise, Men",GYM,Male,1998-01-03,0,0,23
264,1,Sin Jae-Hwan,KOR,Gold,"Horse Vault, Men",GYM,Male,1998-03-03,0,0,23
265,2,Denis Ablyazin,ROC,Silver,"Horse Vault, Men",GYM,Male,1992-08-03,161,62,28
266,3,Artur Davtyan,ARM,Bronze,"Horse Vault, Men",GYM,Male,1992-08-08,162,55,28
267,4,Carlos Edriel Yulo,PHI,,"Horse Vault, Men",GYM,Male,2000-02-16,0,0,21
268,5,Nikita Nagorny,ROC,,"Horse Vault, Men",GYM,Male,1997-02-12,166,67,24
269,6,Adem Asil,TUR,,"Horse Vault, Men",GYM,Male,1999-02-21,0,0,22
270,7,Ahmet Önder,TUR,,"Horse Vault, Men",GYM,Male,1996-07-12,0,0,25
